iter	Passed	Remaining
0	4	1285
1	6	1033
2	9	900
3	10	799
4	12	733
5	13	676
6	15	655
7	17	624
8	18	612
9	20	596
10	22	594
11	24	580
12	25	563
13	26	550
14	28	541
15	29	531
16	31	521
17	32	514
18	34	512
19	36	515
20	38	512
21	40	506
22	41	499
23	42	493
24	44	487
25	45	481
26	47	475
27	50	487
28	52	486
29	53	483
30	55	479
31	56	475
32	58	470
33	59	465
34	61	463
35	62	459
36	64	455
37	65	453
38	67	454
39	69	452
40	71	450
41	72	446
42	74	444
43	75	440
44	77	436
45	78	433
46	80	432
47	82	431
48	84	431
49	86	430
50	87	428
51	89	426
52	90	423
53	92	420
54	94	419
55	95	417
56	98	419
57	100	419
58	102	417
59	103	414
60	105	412
61	107	410
62	108	408
63	110	406
64	111	404
65	114	407
66	116	406
67	118	404
68	120	403
69	121	400
70	123	398
71	124	395
72	126	393
73	128	391
74	130	391
75	132	390
76	134	389
77	135	386
78	137	384
79	139	383
80	140	381
81	142	378
82	144	377
83	146	377
84	148	375
85	150	373
86	152	372
87	153	369
88	155	367
89	156	365
90	158	364
91	160	363
92	163	363
93	165	362
94	167	360
95	168	358
96	170	355
97	172	354
98	173	352
99	175	350
100	177	349
101	179	348
102	181	347
103	183	344
104	184	343
105	186	341
106	187	338
107	189	336
108	192	336
109	194	336
110	196	335
111	198	333
112	200	331
113	201	329
114	203	327
115	205	325
116	207	324
117	211	325
118	213	324
119	214	322
120	216	320
121	218	318
122	219	316
123	221	314
124	223	313
125	226	312
126	228	310
127	229	308
128	231	307
129	233	305
130	234	303
131	237	301
132	238	299
133	240	298
134	243	297
135	245	295
136	247	294
137	248	292
138	251	290
139	252	288
140	254	287
141	257	286
142	259	284
143	261	282
144	263	281
145	265	279
146	267	278
147	269	276
148	272	275
149	274	274
150	276	272
151	278	270
152	279	268
153	281	266
154	283	264
155	284	262
156	287	261
157	289	260
158	291	258
159	293	256
160	295	254
161	297	253
162	298	251
163	300	249
164	303	247
165	305	246
166	307	244
167	309	243
168	311	241
169	313	239
170	316	238
171	318	237
172	320	235
173	322	233
174	324	232
175	326	230
176	328	228
177	330	226
178	332	224
179	334	223
180	336	221
181	338	219
182	340	217
183	342	215
184	343	213
185	345	211
186	347	209
187	349	208
188	351	206
189	353	204
190	355	202
191	356	200
192	358	198
193	359	196
194	361	194
195	363	192
196	365	190
197	367	189
198	369	187
199	370	185
200	372	183
201	373	181
202	375	179
203	377	177
204	378	175
205	380	173
206	382	171
207	384	169
208	385	168
209	387	166
210	388	164
211	390	162
212	392	160
213	393	158
214	395	156
215	396	154
216	398	152
217	400	150
218	401	148
219	403	146
220	405	144
221	406	142
222	408	140
223	409	138
224	411	137
225	413	135
226	415	133
227	417	131
228	418	129
229	420	127
230	421	126
231	423	124
232	424	122
233	426	120
234	428	118
235	430	116
236	432	114
237	434	113
238	436	111
239	437	109
240	439	107
241	441	105
242	444	104
243	446	102
244	448	100
245	451	99
246	453	97
247	455	95
248	456	93
249	458	91
250	461	90
251	463	88
252	465	86
253	466	84
254	468	82
255	470	80
256	472	79
257	474	77
258	476	75
259	478	73
260	479	71
261	481	69
262	483	67
263	484	66
264	486	64
265	487	62
266	489	60
267	492	58
268	494	56
269	496	55
270	497	53
271	499	51
272	500	49
273	502	47
274	504	45
275	505	43
276	508	42
277	510	40
278	512	38
279	513	36
280	515	34
281	517	33
282	518	31
283	520	29
284	523	27
285	525	25
286	526	23
287	528	22
288	532	20
289	534	18
290	535	16
291	537	14
292	538	12
293	540	11
294	542	9
295	544	7
296	546	5
297	548	3
298	549	1
299	551	0
